AI课ID,使用模型类型,知识库资源个数,是否24年开设,平台ID,课程名称,教学班ID,教学班所属院系,主讲教师ID,班级正式学生人数,雨课堂日均开课时长（班级开课总时长/开课天数）,布置作业个数,作业在成绩中占比,布置考试个数,考试在成绩中占比,起始时间,结束时间,持续多少周,调整原因
nCXGIcKR,thu-glm,27,是,dICENFqTq,金融大数据与量化分析,2GwjUPwhWZIS,训练中心,1yGLyZRZyadjT,21,5:08:47,0,0.1,3,0.3,2025-02-17 00:00:00,2025-06-22 00:00:00,18,使用学校统一时间
nCXGIcOf,thu-glm,6,否,dICENFqTq,心理危机预防与干预,2GwjUPwhX022,学生部,1yGLyZTn0XaUj,15,2:50:05,5,0.1,0,0.3,2025-02-17 00:00:00,2025-06-22 00:00:00,18,使用学校统一时间
EGZsMB3,DeepSeek-R1,2561,是,dICENFqTq,走近医学,2GwjUPwhX03T,基础医学院,1yGLyZS93qqns,27,2:41:56,37,0.4,0,0.3,2025-02-17 00:00:00,2025-06-22 00:00:00,18,使用学校统一时间
nCXGIcNL,DeepSeek-R1,2,否,dICENFqTq,微积分A(2),2GwjUPwhX0lR,数学教学中心,1yGLyZS93wick,83,2:10:17,0,0.1,6,0.3,2025-02-17 00:00:00,2025-06-22 00:00:00,18,使用学校统一时间
nCXGIcNL,DeepSeek-R1,2,否,dICENFqTq,微积分A(2),2GwjUPwhX0mr,数学教学中心,1yGLyZS93wick,142,2:06:32,0,0.0,6,0.95,2025-02-17 00:00:00,2025-06-22 00:00:00,18,使用学校统一时间
EGZsMzf,thu-glm,465,是,dICENFqTq,大学物理(2),2GwjUPwhX0o4,物理系,1yGLyZS93x4nM,42,2:31:32,72,0.6,3,0.0,2025-02-17 00:00:00,2025-06-22 00:00:00,18,使用学校统一时间
EGZsMzd,thu-glm,317,是,dICENFqTq,电路原理,2GwjUPwhXlyZ,电机系,2GwjUPB6r8qB,71,1:43:26,0,0.8,1,0.0,2025-02-17 00:00:00,2025-06-22 00:00:00,18,使用学校统一时间
EGZsMzd,thu-glm,317,是,dICENFqTq,电路原理,2GwjUPwhXlz1,电机系,2GwjUPtQxHNx,66,2:43:35,0,0.8,1,0.0,2025-02-17 00:00:00,2025-06-22 00:00:00,18,使用学校统一时间
EGZsMzd,thu-glm,317,是,dICENFqTq,电路原理(英),2GwjUPwhXlzv,电机系,1yGLyZTmCwWqN,32,2:11:57,0,0.8,1,0.0,2025-02-17 00:00:00,2025-06-22 00:00:00,18,使用学校统一时间
nCXGIcv2,DeepSeek-R1,224,是,dICENFqTq,计算机程序设计基础,2GwjUPwhXlV0,计算机系,1yGLyZS93bm9I,68,2:34:25,7,0.0,0,0.0,2025-02-17 00:00:00,2025-06-22 00:00:00,18,使用学校统一时间
